40.48,40.48,40.48,
40.5849,40.6896,40.5331,
40.7504,40.9538,40.7739,
41.0209,41.1127,40.8068,
40.8799,40.7988,40.8031,
40.8379,40.7771,40.8911,
41.3353,40.6886,41.1034,
41.1711,40.5937,41.0337,
41.3886,40.5383,41.0467,
41.1825,40.511,40.7702,
41.4309,40.4678,40.8099,
41.4226,40.5027,40.855,
41.4135,40.6718,41.0106,
41.5305,40.9281,41.0667,
41.5978,40.9332,41.3032,
41.5544,40.8395,41.3331,
41.6814,40.733,41.3657,
42.0031,40.7316,41.3154,
42.2398,40.7737,41.417,
42.4168,40.6231,41.5671,
42.3484,40.7063,41.5803,
42.7844,40.805,41.8397,
41.9392,40.7049,41.8353,
42.1872,40.6235,42.1235,
41.999,40.5278,42.0632,
41.818,40.8437,41.927,
42.0431,41.2384,42.021,
42.3146,41.3951,42.27,
42.1667,41.5093,42.2038,
42.38,41.4738,42.1867,
42.3163,41.4633,42.1884,
42.5424,41.6755,42.1399,
42.6347,41.6263,42.0462,
42.5543,41.331,41.9031,
42.3576,40.8672,41.8112,
42.3972,41.1297,41.7861,
42.5288,41.1455,41.9662,
42.5561,41.1043,42.0625,
42.6863,40.8209,42.2863,
42.5262,40.8508,42.3086,
42.4723,40.7542,42.502,
42.4674,40.6931,42.5269,
42.3467,40.7234,42.3973,
42.0661,40.6692,42.2737,
42.2743,40.4504,42.3678,
42.6841,40.3675,42.5029,
42.933,40.4794,42.5383,
42.9546,40.3677,42.5267,
43.0318,40.1994,42.6605,
43.0177,40.4357,42.7586,
42.9656,40.7097,42.7324,
43.2172,40.5466,42.6575,
43.3313,40.5161,42.7247,
43.2301,40.6775,42.6796,
43.4496,40.7853,42.7307,
43.4821,40.6797,42.8477,
43.584,40.5543,42.8482,
43.3236,40.7026,42.8459,
43.7796,40.7937,43.0256,
44.0148,40.8997,42.9608,
44.2878,41.0323,43.0384,
43.975,41.1365,43.2073,
43.9676,41.3978,43.1473,
43.7499,41.3357,43.2273,
44.0875,41.5488,43.5409,
44.0615,41.7369,43.7479,
44.2057,41.6887,43.9626,
44.3169,41.6566,44.1131,
44.6404,42.2049,44.2187,
45.0888,42.1771,44.3037,
45.0251,42.08,44.5686,
45.0562,42.1143,44.5282,
45.2861,42.1035,44.6716,
45.3277,42.2439,44.505,
45.3233,42.2986,44.4688,
45.2524,42.2287,44.1908,
45.1473,42.2193,44.0924,
45.2531,42.068,44.0746,
45.5376,42.1679,44.175,
45.647,42.1768,44.2798,
45.5275,41.9393,44.3623,
45.5252,42.1427,44.5737,
45.3879,42.0345,44.678,
45.317,41.9343,44.935,
45.4186,42.0413,45.2345,
45.5302,41.9592,45.1489,
45.7458,42.0088,45.0182,
46.0099,42.2085,45.0241,
46.1118,42.0914,45.128,
46.1491,42.0265,45.2371,
46.4527,41.8934,45.2419,
46.6142,41.9016,45.1949,
46.8592,41.958,45.0434,
46.9902,42.3926,44.8707,
